,SEX,TIP,AGE,FO,EDU,DOHOD,PROF,weight
0,2.0,2.0,66.0,6.0,4.0,3.0,1.0,0.25079844710209753
1,2.0,1.0,43.0,1.0,6.0,3.0,9.0,1.4204957823468085
2,2.0,3.0,52.0,7.0,6.0,2.0,7.0,0.8133671135598446
3,1.0,6.0,41.0,5.0,5.0,3.0,7.0,0.47055501002626576
4,1.0,7.0,65.0,5.0,4.0,3.0,1.0,2.6695890538529485
5,2.0,7.0,39.0,6.0,4.0,3.0,7.0,0.4135490234928158
6,1.0,3.0,55.0,2.0,6.0,2.0,7.0,1.8196192174896357
7,1.0,4.0,40.0,7.0,5.0,3.0,7.0,0.569733563653907
8,1.0,1.0,23.0,7.0,4.0,3.0,7.0,3.0784127419562117
9,1.0,3.0,49.0,8.0,4.0,3.0,7.0,0.4459646760352526
10,2.0,7.0,59.0,4.0,3.0,3.0,2.0,1.2649620796926886
11,2.0,1.0,68.0,1.0,4.0,3.0,1.0,1.2302448876070828
12,2.0,3.0,46.0,4.0,3.0,4.0,7.0,0.8698566325100863
13,1.0,4.0,49.0,7.0,4.0,3.0,7.0,0.6090787877277696
14,2.0,7.0,35.0,6.0,5.0,4.0,6.0,0.9636742443597853
15,2.0,2.0,57.0,8.0,4.0,3.0,7.0,0.36558986388844517
16,1.0,2.0,31.0,7.0,5.0,2.0,7.0,0.5323925749996516
17,1.0,1.0,29.0,6.0,4.0,4.0,7.0,0.32581185503445104
18,2.0,7.0,38.0,5.0,5.0,3.0,6.0,0.6142815847353819
19,2.0,1.0,74.0,3.0,4.0,3.0,1.0,0.4173505536842749
20,2.0,1.0,22.0,6.0,5.0,2.0,7.0,2.2645245818761257
21,1.0,3.0,71.0,2.0,5.0,3.0,1.0,0.3865599725940079
22,1.0,7.0,46.0,3.0,5.0,3.0,7.0,2.064248057927042
23,2.0,1.0,58.0,3.0,6.0,2.0,2.0,0.5076675710224074
24,1.0,1.0,29.0,5.0,4.0,3.0,1.0,0.46140036439634624
25,1.0,1.0,76.0,6.0,3.0,3.0,1.0,0.346013972878296
26,1.0,1.0,35.0,6.0,5.0,3.0,7.0,0.3956833580808895
27,2.0,4.0,64.0,5.0,4.0,3.0,2.0,0.9865765944675589
28,1.0,7.0,27.0,1.0,4.0,3.0,7.0,1.1743393107157092
29,2.0,3.0,73.0,1.0,4.0,3.0,1.0,1.1619186049481585
30,2.0,5.0,75.0,7.0,4.0,3.0,1.0,0.8047815725904381
31,1.0,7.0,70.0,2.0,5.0,3.0,1.0,0.5884012784802664
32,1.0,6.0,57.0,7.0,3.0,3.0,7.0,0.6090787877277696
33,2.0,4.0,66.0,5.0,4.0,3.0,2.0,0.9865765944675589
34,1.0,3.0,61.0,1.0,5.0,3.0,1.0,0.8536634102369344
35,2.0,4.0,51.0,5.0,5.0,5.0,1.0,0.8741886799574718
36,2.0,7.0,69.0,3.0,3.0,1.0,1.0,0.7992790147016298
37,2.0,4.0,60.0,4.0,4.0,3.0,1.0,1.0048972974028638
38,2.0,1.0,69.0,2.0,4.0,3.0,1.0,1.2302448876070828
39,2.0,7.0,30.0,5.0,4.0,3.0,6.0,2.4044883513972914
40,1.0,3.0,54.0,1.0,6.0,2.0,7.0,1.0736202273026973
41,1.0,5.0,34.0,5.0,5.0,99.0,99.0,1.5656723841883133
42,1.0,1.0,36.0,2.0,5.0,3.0,7.0,0.695800566912402
43,1.0,2.0,38.0,7.0,4.0,2.0,7.0,0.8692935206146493
44,1.0,2.0,45.0,7.0,4.0,4.0,9.0,0.3526547928911812
45,2.0,2.0,54.0,7.0,5.0,2.0,7.0,4.099625806537678
46,1.0,3.0,28.0,1.0,5.0,2.0,7.0,0.8369675720376215
47,2.0,1.0,70.0,1.0,5.0,99.0,1.0,1.0687130911508451
48,2.0,7.0,59.0,3.0,4.0,3.0,2.0,0.8012992323756112
49,2.0,3.0,30.0,2.0,5.0,3.0,9.0,3.258423203707876
50,2.0,2.0,52.0,5.0,4.0,3.0,1.0,0.8266065344496097
51,2.0,3.0,37.0,1.0,5.0,3.0,7.0,1.3521358104910541
52,2.0,1.0,23.0,2.0,5.0,4.0,4.0,1.3206584428348078
53,2.0,1.0,51.0,3.0,6.0,2.0,7.0,0.5076675710224074
54,2.0,4.0,32.0,3.0,4.0,2.0,7.0,3.7917186510477032
55,1.0,1.0,38.0,5.0,5.0,2.0,7.0,0.44905421367647375
56,1.0,3.0,30.0,1.0,5.0,3.0,7.0,0.8369675720376215
57,1.0,1.0,46.0,3.0,5.0,2.0,7.0,0.4354210158860262
58,1.0,4.0,45.0,1.0,5.0,3.0,8.0,1.1630371920527058
59,2.0,7.0,29.0,5.0,4.0,3.0,7.0,2.4044883513972914
60,2.0,1.0,43.0,2.0,6.0,3.0,7.0,1.4204957823468085
61,2.0,1.0,49.0,7.0,5.0,3.0,2.0,0.48812102482935926
62,2.0,7.0,58.0,7.0,3.0,3.0,1.0,0.9177555097784614
63,2.0,2.0,74.0,3.0,4.0,2.0,1.0,1.0105848636714192
64,1.0,1.0,23.0,1.0,5.0,3.0,3.0,1.7871736487816863
65,1.0,3.0,34.0,4.0,5.0,3.0,7.0,0.5238413435778552
