,SEX,AGE,TIP,FO,PROF,EDU,DOHOD,weight
0,1.0,62.0,3.0,3.0,8.0,5.0,3.0,0.6754240711648395
1,1.0,65.0,3.0,1.0,1.0,5.0,3.0,1.6661996766984533
2,1.0,23.0,1.0,1.0,9.0,4.0,4.0,1.3910196263745753
3,1.0,50.0,2.0,5.0,7.0,3.0,3.0,0.6559509732893687
4,1.0,52.0,3.0,2.0,7.0,4.0,3.0,1.2048171272833406
5,2.0,18.0,6.0,1.0,3.0,2.0,3.0,1.4526243464816506
6,2.0,19.0,3.0,1.0,4.0,3.0,2.0,1.1698404102783593
7,2.0,35.0,3.0,6.0,7.0,4.0,3.0,1.991252812373289
8,2.0,38.0,1.0,5.0,7.0,4.0,2.0,0.7358004500210178
9,2.0,46.0,3.0,3.0,99.0,6.0,1.0,1.3308865759823107
10,2.0,31.0,3.0,1.0,7.0,5.0,3.0,1.6958327852306252
11,1.0,44.0,2.0,7.0,7.0,5.0,3.0,0.38857937511904167
12,1.0,21.0,1.0,5.0,7.0,5.0,2.0,0.6292564778230256
13,1.0,62.0,3.0,1.0,1.0,5.0,4.0,1.3215950821331632
14,1.0,63.0,3.0,2.0,1.0,4.0,3.0,0.21316510323738078
15,2.0,34.0,1.0,7.0,7.0,4.0,2.0,1.2430823574081717
16,2.0,55.0,7.0,7.0,7.0,4.0,3.0,0.7482695014763957
17,1.0,61.0,1.0,1.0,5.0,5.0,3.0,0.8840481247188247
18,1.0,30.0,1.0,1.0,9.0,4.0,2.0,1.293766776814243
19,1.0,30.0,5.0,1.0,7.0,4.0,4.0,0.993995849569573
20,1.0,38.0,6.0,1.0,9.0,4.0,3.0,0.7697218085076969
21,1.0,50.0,4.0,6.0,7.0,5.0,4.0,1.0970163309144256
22,1.0,45.0,1.0,1.0,8.0,5.0,3.0,1.2287720787622736
23,2.0,76.0,3.0,4.0,1.0,5.0,2.0,0.22392000884972224
24,1.0,24.0,1.0,1.0,7.0,5.0,1.0,0.68133111859199
25,1.0,18.0,1.0,5.0,4.0,3.0,3.0,0.8296069135851738
26,1.0,64.0,1.0,1.0,2.0,4.0,3.0,1.238818148143993
27,1.0,50.0,1.0,1.0,8.0,4.0,2.0,0.9961601080003022
28,1.0,60.0,2.0,4.0,2.0,999.0,99.0,0.2637492014930014
29,1.0,39.0,2.0,5.0,7.0,5.0,3.0,0.331683089321067
30,2.0,39.0,3.0,5.0,7.0,5.0,3.0,2.3111916353735236
31,1.0,80.0,1.0,2.0,1.0,5.0,3.0,0.8840481247188247
32,2.0,56.0,1.0,7.0,2.0,4.0,3.0,1.3407654596827372
33,1.0,27.0,1.0,6.0,7.0,5.0,2.0,0.7171649041480034
34,1.0,40.0,1.0,1.0,7.0,6.0,3.0,0.6249000379814011
35,1.0,74.0,3.0,2.0,1.0,5.0,2.0,0.5113350784154176
36,2.0,52.0,7.0,4.0,7.0,4.0,3.0,1.489737931974035
37,2.0,70.0,3.0,8.0,2.0,4.0,4.0,0.5573108978267407
38,2.0,81.0,4.0,5.0,1.0,4.0,4.0,1.4101488292568771
39,1.0,23.0,7.0,4.0,7.0,5.0,2.0,5.161623396958559
40,1.0,31.0,5.0,6.0,7.0,2.0,4.0,4.04882187195439
41,1.0,28.0,1.0,5.0,7.0,5.0,3.0,0.39671710763413026
42,1.0,43.0,1.0,1.0,7.0,6.0,3.0,0.6249000379814011
43,1.0,37.0,1.0,5.0,7.0,5.0,4.0,0.45916913593258823
44,1.0,83.0,1.0,2.0,1.0,1.0,3.0,1.238818148143993
45,1.0,85.0,2.0,7.0,1.0,4.0,3.0,0.4068188773196084
46,1.0,70.0,3.0,3.0,1.0,4.0,3.0,1.057624259416222
47,1.0,35.0,1.0,6.0,7.0,4.0,2.0,0.2476760485659148
48,2.0,27.0,3.0,1.0,6.0,5.0,3.0,1.6958327852306252
49,1.0,51.0,1.0,1.0,2.0,5.0,3.0,0.7108819617445633
50,1.0,70.0,2.0,7.0,2.0,5.0,4.0,0.29972814985402285
51,1.0,40.0,2.0,5.0,7.0,4.0,3.0,0.43728844075155426
52,1.0,41.0,5.0,1.0,5.0,3.0,3.0,0.7697218085076969
53,1.0,41.0,3.0,4.0,7.0,5.0,3.0,0.43083226286656306
54,1.0,47.0,4.0,3.0,7.0,5.0,2.0,0.48033696260020253
55,1.0,74.0,5.0,3.0,1.0,5.0,3.0,0.41672837912398003
56,2.0,38.0,1.0,1.0,8.0,6.0,2.0,1.1432058076892346
57,1.0,40.0,1.0,1.0,7.0,6.0,3.0,0.6249000379814011
58,2.0,39.0,1.0,1.0,7.0,5.0,3.0,1.1432058076892346
59,2.0,57.0,3.0,3.0,7.0,5.0,2.0,1.3308865759823107
60,2.0,62.0,1.0,1.0,2.0,4.0,2.0,0.9338496427512092
61,1.0,54.0,1.0,1.0,8.0,5.0,3.0,0.7108819617445633
62,2.0,41.0,1.0,1.0,7.0,5.0,3.0,1.1432058076892346
63,2.0,58.0,1.0,1.0,7.0,5.0,2.0,1.0019294383931403
64,2.0,57.0,1.0,2.0,7.0,5.0,3.0,1.0019294383931403
